text,author
"We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.","Veronica Roth, Divergent"
"Don't think or judge, just listen.","Sarah Dessen, Just Listen"
"You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.",C. JoyBell C.
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,"Roy T. Bennett, The Light in the Heart"
"Instead of worrying about what you cannot control, shift your energy to what you can create.","Roy T. Bennett, The Light in the Heart"
Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.,"Roy T. Bennett, The Light in the Heart"
"Respect other people's feelings. It might mean nothing to you, but it could mean everything to them.",Roy T. Bennett
Be mindful. Be grateful. Be positive. Be true. Be kind.,"Roy T. Bennett, The Light in the Heart"
"Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.","Roy T. Bennett, The Light in the Heart"
"One day, in retrospect, the years of struggle will strike you as the most beautiful.",Sigmund Freud
Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,"Roy T. Bennett, The Light in the Heart"
"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.","Roy T. Bennett, The Light in the Heart"
"It's only after you've stepped outside your comfort zone that you begin to change, grow, and transform.",Roy T. Bennett
"Don't waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.",Roy T. Bennett
"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.","Roy T. Bennett, The Light in the Heart"
"Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.",Roy T. Bennett
Don't Just,
"Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don't respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.","Roy T. Bennett, The Light in the Heart"
"You cannot control the behavior of others, but you can always choose how you respond to it.","Roy T. Bennett, The Light in the Heart"
"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.","Roy T. Bennett, The Light in the Heart"
Life becomes easier and more beautiful when we can see the good in other people.,Roy T. Bennett
Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.,C. JoyBell C.
"If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.",C. JoyBell C.
Keep Going,
"Make improvements, not excuses. Seek respect, not attention.","Roy T. Bennett, The Light in the Heart"
"Pursue what catches your heart, not what catches your eyes.","Roy T. Bennett, The Light in the Heart"
"We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.",C. JoyBell C.
Learn to light a candle in the darkest moments of someone's life. Be the light that helps others see; it is what gives life its deepest significance.,"Roy T. Bennett, The Light in the Heart"
Be grateful for what you already have while you pursue your goals.,"If you aren't grateful for what you already have, what makes you think you would be happy with more."
Believe in Your Heart,
"Success is not how high you have climbed, but how you make a positive difference to the world.","Roy T. Bennett, The Light in the Heart"
"Treat everyone with politeness and kindness, not because they are nice, but because you are.","Roy T. Bennett, The Light in the Heart"
Start each day with a positive thought and a grateful heart.,"Roy T. Bennett, The Light in the Heart"
"No amount of regretting can change the past, and no amount of worrying can change the future.","Roy T. Bennett, The Light in the Heart"
Acts of Kindness:,"A random act of kindness, no matter how small, can make a tremendous impact on someone else's life."
"Follow your heart, listen to your inner voice, stop caring about what others think.","Roy T. Bennett, The Light in the Heart"
"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.","Roy T. Bennett, The Light in the Heart"
Top 15 Things Money Can't Buy,Time. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.
Be brave to stand for what you believe in even if you stand alone.,"Roy T. Bennett, The Light in the Heart"
"You will find that it is necessary to let things go; simply for the reason that they are heavy. So let them go, let go of them. I tie no weights to my ankles.",C. JoyBell C.
Do not fear failure but rather fear not trying.,"Roy T. Bennett, The Light in the Heart"
Never lose hope. Storms make people stronger and never last forever.,"Roy T. Bennett, The Light in the Heart"
"Great things happen to those who don't stop believing, trying, learning, and being grateful.","Roy T. Bennett, The Light in the Heart"
"Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.","Roy T. Bennett, The Light in the Heart"
"The only way that we can live, is if we grow. The only way that we can grow is if we change. The only way that we can change is if we learn. The only way we can learn is if we are exposed. And the only way that we can become exposed is if we throw ourselves out into the open. Do it. Throw yourself.",C. JoyBell C.
"I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.",C. JoyBell C.
"Time doesn't heal emotional pain, you need to learn how to let go.","Roy T. Bennett, The Light in the Heart"
To shine your brightest light is to be who you truly are.,Roy T. Bennett
